G#,G,F#,F,E,D#,D,C#,C,B,A#,A,Cluster
0.007603669,0.00658462,0.445637689,0.021556792,0.038567061,0.015364114,0.240808968,0.002116485,0.00282198,0.037861566,0.180214784,0.000862272,3.0
0.019396317,0.00904435,0.364825106,0.011550616000000001,0.022338455,0.004903563,0.347172279,0.00337801,0.013294105,0.038792634,0.145363409,0.019941157,2.0
0.030015065,0.017846796,0.262371074,0.059334801,0.041372117,0.072314289,0.31463669,0.014370147,0.035461815,0.030246842000000003,0.11588828400000001,0.006142079,2.0
0.035674357000000004,0.0031507270000000003,0.336111393,0.005589999,0.011789816000000002,0.021750178,0.310194125,0.0009147269999999999,0.000304909,0.010875089,0.263238134,0.000406545,2.0
0.023368543,0.017942411000000002,0.221892635,0.0760382,0.059832152,0.060627984,0.407611055,0.002098104,0.020619303000000002,0.039140501,0.06402836099999999,0.006800751999999999,0.0
0.040145985,0.010439654,0.327024274,0.042522492,0.22313698899999998,0.010948905,0.237396028,0.004668138,0.012901035,0.017059921999999998,0.062553047,0.011203531000000001,2.0
0.018471485,0.0268991,0.319094897,0.052874625,0.05449088,0.061879474000000004,0.383283306,0.011313783999999999,0.015238975,0.014546294,0.038443777,0.003463403,2.0
0.038606048999999996,0.00018786400000000002,0.372064625,0.022825474,0.045557017000000005,0.000563592,0.1658839,0.0,0.010896111000000002,0.094401653,0.243847454,0.00516626,1.0
0.056417058,0.029891859,0.141603754,0.01183432,0.129055295,0.022750459,0.414201183,0.00020404,0.027239338999999998,0.0096919,0.150989594,0.006121199999999999,0.0
0.038986761,0.021578233999999998,0.16991556300000002,0.098717815,0.10570207400000001,0.055769832000000005,0.21442718600000002,0.017095799,0.067966225,0.10194933800000001,0.087355363,0.020535807,1.0
0.024694056000000002,0.019995628999999997,0.134069056,0.089707168,0.108937937,0.077141608,0.266936189,0.030703671000000002,0.030375874,0.029501747999999998,0.117460664,0.07047639900000001,1.0
0.017233126,0.008496888000000001,0.361656295,0.017711823999999998,0.028482527999999997,0.009932982,0.165390139,0.004667305,0.002991862,0.06163236,0.29188607,0.029918621,1.0
0.064473817,0.018565231,0.448996065,0.031984663999999996,0.091817173,0.017051761000000002,0.133286248,0.014731107,0.013722126999999999,0.056099284000000006,0.10513570800000001,0.004136818,3.0
